order_count,total_spent,last_month_expenditure,coupon_used,preferred_category,payment_method,location_type,rating_last_purchase,churned
7,16295,4858,No,Apparel,COD,Tier 1,5,0
19,4926,723,No,Books,Credit Card,Tier 1,3,0
2,23833,0,Yes,Apparel,COD,Tier 2,4,0
12,20269,3732,Yes,Apparel,UPI,Tier 2,1,0
10,18931,0,Yes,Books,Credit Card,Tier 1,3,0
20,18412,0,No,Books,COD,Tier 1,3,0
9,15002,0,No,Electronics,COD,Tier 1,1,1
18,10733,0,No,Books,Credit Card,Tier 2,5,0
15,23983,0,Yes,Food,COD,Tier 2,5,0
3,15041,1342,No,Books,Credit Card,Tier 2,4,0
6,11305,1020,No,Apparel,COD,Tier 1,2,1
2,4797,1186,Yes,Apparel,COD,Tier 1,4,0
8,24776,3050,No,Electronics,COD,Tier 1,5,0
13,7708,0,Yes,Food,UPI,Tier 2,5,0
7,3068,293,Yes,Books,COD,Tier 1,3,0
8,14486,3625,No,Books,UPI,Tier 2,2,0
9,19983,5133,No,Groceries,COD,Tier 1,2,0
5,19615,7005,Yes,Apparel,COD,Tier 3,1,0
15,14273,4200,No,Electronics,Wallet,Tier 1,3,0
15,22861,0,No,Electronics,COD,Tier 1,5,0
7,24292,0,Yes,Apparel,UPI,Tier 3,4,1
7,23776,2310,Yes,Apparel,Credit Card,Tier 2,5,0
19,20041,5156,Yes,Apparel,COD,Tier 2,1,0
12,4127,1468,No,Electronics,COD,Tier 1,2,0
7,24276,0,No,Electronics,Credit Card,Tier 3,3,0
20,22748,0,Yes,Books,Wallet,Tier 2,3,0
5,14045,0,Yes,Books,COD,Tier 2,3,0
9,20647,8037,Yes,Food,Credit Card,Tier 1,4,0
7,12149,927,Yes,Apparel,Credit Card,Tier 3,1,0
2,5237,171,Yes,Books,UPI,Tier 1,1,1
2,22056,8702,No,Electronics,Wallet,Tier 2,4,0
17,4889,1272,Yes,Electronics,COD,Tier 3,3,0
16,9839,2798,No,Groceries,COD,Tier 1,3,0
4,7046,2308,No,Food,COD,Tier 2,4,0
20,9180,1533,Yes,Groceries,Wallet,Tier 1,2,1
11,8655,861,Yes,Electronics,COD,Tier 3,2,0
16,9708,1156,Yes,Apparel,UPI,Tier 2,1,0
12,21432,5585,Yes,Electronics,Credit Card,Tier 2,1,0
19,15651,5406,Yes,Electronics,COD,Tier 1,1,0
11,18532,0,Yes,Books,COD,Tier 1,4,0
16,3057,1192,Yes,Books,COD,Tier 3,2,0
18,12469,3339,No,Apparel,COD,Tier 2,1,0
4,23828,2096,Yes,Apparel,Credit Card,Tier 2,3,0
1,5055,1323,Yes,Groceries,Credit Card,Tier 1,5,0
8,20238,3097,Yes,Electronics,UPI,Tier 2,1,0
1,8496,2017,No,Books,Credit Card,Tier 1,1,0
12,19089,7018,Yes,Electronics,Credit Card,Tier 1,3,0
5,19211,0,Yes,Electronics,UPI,Tier 1,5,0
1,690,0,Yes,Food,UPI,Tier 3,1,1
18,2316,789,Yes,Apparel,Credit Card,Tier 3,3,0
18,7955,1243,No,Food,Credit Card,Tier 1,3,0
17,8596,0,Yes,Apparel,UPI,Tier 1,5,0
3,18725,6873,Yes,Food,COD,Tier 3,2,0
4,5280,0,Yes,Electronics,Credit Card,Tier 3,4,1
15,13903,2595,Yes,Books,COD,Tier 1,3,0
17,10407,0,No,Books,UPI,Tier 2,3,0
1,15099,1540,Yes,Books,UPI,Tier 3,5,0
6,1376,0,Yes,Food,COD,Tier 1,3,1
20,7299,1578,Yes,Books,COD,Tier 1,3,0
19,5677,0,No,Apparel,UPI,Tier 2,5,0
9,2431,209,Yes,Books,UPI,Tier 3,1,1
16,20556,2598,Yes,Books,COD,Tier 1,5,0
5,15625,596,No,Apparel,COD,Tier 3,2,1
5,7753,0,Yes,Electronics,Credit Card,Tier 3,4,0
17,19025,5468,Yes,Apparel,COD,Tier 3,4,0
16,23368,2005,No,Groceries,COD,Tier 1,5,0
10,14569,542,No,Books,UPI,Tier 3,2,1
1,9707,795,No,Apparel,Credit Card,Tier 1,2,0
20,18571,4418,No,Food,COD,Tier 1,1,1
19,22616,7503,Yes,Books,COD,Tier 2,2,0
13,20991,0,No,Apparel,UPI,Tier 1,2,0
18,2582,0,Yes,Food,Credit Card,Tier 1,2,0
10,10317,0,Yes,Apparel,COD,Tier 3,3,0
4,17709,4587,No,Apparel,Wallet,Tier 2,5,0
4,12157,2870,Yes,Apparel,COD,Tier 3,3,1
16,18455,5814,No,Electronics,Credit Card,Tier 2,5,0
13,11018,652,Yes,Apparel,COD,Tier 3,1,1
20,14691,1955,No,Groceries,Credit Card,Tier 1,3,0
12,7900,1223,Yes,Apparel,Wallet,Tier 3,4,1
20,21830,1127,Yes,Books,COD,Tier 3,5,0
20,11630,0,No,Food,Credit Card,Tier 3,5,1
7,19040,7430,Yes,Books,COD,Tier 3,2,0
11,24894,0,No,Groceries,Credit Card,Tier 1,4,0
12,7556,0,No,Apparel,Credit Card,Tier 3,5,0
9,23822,1213,Yes,Groceries,UPI,Tier 1,5,0
8,14307,5072,No,Apparel,COD,Tier 1,1,1
13,3641,739,Yes,Groceries,Credit Card,Tier 1,4,0
10,22861,0,No,Electronics,Credit Card,Tier 2,3,0
18,9935,2996,No,Apparel,Credit Card,Tier 1,5,0
7,19956,2200,No,Apparel,COD,Tier 2,1,0
17,24460,2567,No,Electronics,UPI,Tier 2,2,0
13,2352,0,Yes,Books,COD,Tier 2,5,1
5,14343,0,Yes,Food,UPI,Tier 2,1,0
15,20370,5802,No,Books,COD,Tier 1,3,1
11,13823,580,No,Electronics,COD,Tier 3,4,0
8,9837,0,No,Electronics,COD,Tier 2,2,0
18,1039,0,Yes,Apparel,COD,Tier 2,1,0
17,5820,0,No,Books,Credit Card,Tier 2,4,0
16,17808,0,Yes,Electronics,COD,Tier 1,3,1
18,23910,6052,Yes,Books,Wallet,Tier 2,2,0
18,24302,0,Yes,Apparel,UPI,Tier 3,1,1
18,8915,1455,No,Apparel,COD,Tier 2,2,0
17,14272,0,No,Electronics,Credit Card,Tier 3,1,0
1,904,0,No,Apparel,COD,Tier 1,4,1
5,6489,1573,Yes,Electronics,Credit Card,Tier 1,5,0
10,21062,0,Yes,Books,COD,Tier 2,1,0
19,21664,2316,Yes,Apparel,Wallet,Tier 1,1,1
2,3919,0,No,Groceries,COD,Tier 2,2,1
3,4863,1886,Yes,Food,UPI,Tier 1,3,0
16,19698,0,Yes,Groceries,UPI,Tier 3,5,0
2,21414,5451,No,Food,UPI,Tier 3,2,1
2,8517,1586,No,Books,Wallet,Tier 2,2,0
6,24532,4187,No,Electronics,Credit Card,Tier 2,2,1
5,5392,0,Yes,Apparel,COD,Tier 2,1,1
20,4664,966,No,Electronics,UPI,Tier 1,5,0
11,12515,0,Yes,Apparel,COD,Tier 1,1,0
16,6738,1921,Yes,Apparel,COD,Tier 2,4,0
3,18771,5137,No,Apparel,UPI,Tier 2,2,1
19,24454,3696,Yes,Apparel,UPI,Tier 3,2,0
6,6876,2474,Yes,Books,Credit Card,Tier 3,1,1
13,16782,0,Yes,Apparel,COD,Tier 3,1,1
15,23377,0,No,Food,UPI,Tier 2,5,0
4,14068,0,Yes,Books,COD,Tier 1,3,0
15,802,164,Yes,Apparel,COD,Tier 2,2,1
14,11979,523,Yes,Apparel,UPI,Tier 1,3,0
7,5622,1206,No,Apparel,COD,Tier 2,4,0
6,7382,442,Yes,Books,COD,Tier 2,5,0
7,18860,1017,Yes,Electronics,COD,Tier 1,4,0
13,11975,1855,No,Electronics,Wallet,Tier 3,1,1
15,6871,1670,Yes,Apparel,COD,Tier 2,1,1
10,2972,0,No,Electronics,Wallet,Tier 3,4,1
2,10667,1552,No,Groceries,Credit Card,Tier 1,1,0
6,2105,0,Yes,Apparel,COD,Tier 2,4,1
9,13546,0,Yes,Apparel,Wallet,Tier 3,5,1
6,24373,8984,Yes,Books,Wallet,Tier 1,1,0
6,13734,4024,No,Food,COD,Tier 1,3,0
19,23200,2113,Yes,Books,Credit Card,Tier 1,4,0
1,13319,0,No,Apparel,Wallet,Tier 2,1,1
6,2328,871,Yes,Groceries,Credit Card,Tier 2,5,0
1,13477,3079,Yes,Food,Wallet,Tier 1,2,1
13,5787,676,Yes,Electronics,UPI,Tier 1,5,0
9,18878,4726,No,Groceries,COD,Tier 3,3,0
17,18488,7149,No,Groceries,Wallet,Tier 2,5,0
9,19519,7262,No,Food,COD,Tier 3,4,0
8,9564,3097,Yes,Electronics,UPI,Tier 2,3,0
5,19782,4328,Yes,Groceries,Credit Card,Tier 1,4,0
10,19020,3647,No,Apparel,UPI,Tier 2,3,0
1,22026,5274,Yes,Apparel,Credit Card,Tier 1,1,1
2,18881,0,Yes,Groceries,COD,Tier 3,3,1
6,22649,0,No,Apparel,COD,Tier 3,3,0
20,15874,3306,Yes,Books,UPI,Tier 3,3,0
6,1620,512,No,Books,UPI,Tier 3,1,0
2,5112,767,Yes,Apparel,Wallet,Tier 1,5,0
4,6859,1446,Yes,Electronics,UPI,Tier 2,5,0
4,3391,84,No,Electronics,Wallet,Tier 1,3,1
4,1293,0,Yes,Apparel,COD,Tier 1,5,1
10,11611,2001,Yes,Groceries,COD,Tier 1,2,1
12,10957,2325,Yes,Books,Credit Card,Tier 2,1,0
8,1327,78,Yes,Apparel,COD,Tier 1,4,1
5,6459,2022,Yes,Apparel,UPI,Tier 1,2,0
19,7696,0,No,Books,Wallet,Tier 1,1,1
1,11553,0,No,Electronics,Credit Card,Tier 2,2,1
1,2354,0,Yes,Electronics,COD,Tier 1,3,1
15,23996,2354,No,Electronics,Credit Card,Tier 2,1,0
9,8470,1899,Yes,Books,COD,Tier 1,3,0
7,9166,1758,Yes,Electronics,Credit Card,Tier 1,3,0
19,18089,0,No,Books,Wallet,Tier 1,4,0
1,23204,2912,Yes,Electronics,UPI,Tier 3,2,0
17,17850,3470,No,Electronics,UPI,Tier 2,4,0
8,23588,0,No,Food,COD,Tier 1,5,0
19,24942,3810,No,Apparel,COD,Tier 1,5,0
16,24070,0,Yes,Electronics,UPI,Tier 1,3,0
2,7145,1231,Yes,Books,Wallet,Tier 2,3,0
1,20219,7674,No,Food,Wallet,Tier 2,2,0
14,23189,687,No,Food,UPI,Tier 2,4,0
7,16208,3722,No,Food,Credit Card,Tier 1,3,0
8,24105,0,Yes,Electronics,Wallet,Tier 2,5,0
1,20559,0,Yes,Apparel,Wallet,Tier 2,2,1
14,10003,3356,No,Electronics,UPI,Tier 1,4,0
14,15570,0,Yes,Electronics,COD,Tier 1,2,0
7,16532,0,Yes,Food,Credit Card,Tier 2,3,0
19,14359,4128,No,Food,Wallet,Tier 1,1,1
20,20478,0,Yes,Groceries,UPI,Tier 2,2,0
12,18439,3237,No,Apparel,UPI,Tier 2,1,0
12,22870,7094,Yes,Apparel,COD,Tier 1,1,1
14,16586,3012,No,Groceries,COD,Tier 2,3,0
9,3099,536,Yes,Food,Credit Card,Tier 2,1,0
